SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
237.93904;-50.43713;-237.8884;24.227972;-26.20916;0.050634027;161.45268;-51.166862;-87.430336;-22.594345;-0.6566695;-0.39553112;0.44616514;68.511765;65.50906;14.818591;26.350956;0.9913858;2.0357459;3.0271316;0.1700217;2.85711;288.48474;287.77563;3.187214;0.07946039;4.0340556e-06;2.7580793e-07;2.0122263e-06;7.691713e-06;3.5804547e-05
237.74875;-50.593636;-237.4896;24.5358;-26.057833;0.25915045;161.219;-51.126957;-86.59857;-22.99756;-0.6519617;-0.15605594;0.4152064;68.74414;65.84087;14.928037;26.465038;0.99521804;2.0038872;2.9991052;0.16880278;2.8303025;288.5469;287.76868;3.210302;0.080637194;4.257128e-06;2.7462923e-07;1.968521e-06;7.904702e-06;3.2724452e-05
238.06953;-50.2401;-237.585;24.544804;-25.695297;0.4845325;161.52237;-51.311306;-86.189705;-23.371828;-0.6348832;0.014649866;0.46988264;68.87863;64.65953;14.900975;26.436127;0.9839025;1.9996841;2.9835865;0.16438091;2.8192058;288.5924;287.81192;3.1735227;0.08206678;4.385201e-06;2.8065153e-07;2.039161e-06;7.941929e-06;3.3769116e-05
238.15756;-50.26726;-237.86705;24.341967;-25.925293;0.29052088;161.61505;-51.623837;-86.32982;-23.346104;-0.6395101;-0.3242141;0.61473495;68.266556;65.112816;14.803218;26.423622;0.9842134;2.0022485;2.9864619;0.16557889;2.820883;288.59192;287.83694;3.1717114;0.081055544;4.4486833e-06;2.8568678e-07;2.0480263e-06;7.818193e-06;3.3831962e-05
238.19551;-50.159294;-237.8826;24.429842;-25.729452;0.31290454;161.603;-51.567715;-86.07511;-23.421745;-0.63650763;-0.09808036;0.41098487;68.51711;64.76596;14.882726;26.492876;0.98661196;1.9935342;2.9801462;0.16480151;2.8153446;288.65353;287.87894;3.1320846;0.08275808;4.533073e-06;2.8704406e-07;2.0662567e-06;7.823152e-06;3.8674047e-05
238.0617;-49.89646;-238.00862;24.143417;-25.753042;0.05309166;161.50359;-51.78215;-86.196205;-23.385262;-0.6500705;-0.51009834;0.56319;68.13107;64.38912;14.740374;26.34216;0.9761598;2.0052736;2.9814334;0.16831313;2.8131204;288.52307;287.7571;3.1291318;0.07969426;4.537365e-06;2.84908e-07;2.0166506e-06;7.96229e-06;4.6465277e-05
237.96532;-50.15497;-237.89066;24.373142;-25.781824;0.074660085;161.42914;-51.661877;-86.10624;-23.464561;-0.6397648;-0.4433089;0.51796895;68.85316;64.802734;14.81219;26.36574;0.9891214;1.9920259;2.9811473;0.16564482;2.8155024;288.59924;287.84402;3.106589;0.080914766;4.5122674e-06;2.8644138e-07;2.0314405e-06;7.882532e-06;3.9044968e-05
237.99396;-50.0175;-237.89566;24.3133;-25.704203;0.09829041;161.31718;-51.476776;-86.16777;-23.358711;-0.66686636;-0.3529456;0.451236;68.45405;64.882904;14.874931;26.480227;0.9815812;2.0007298;2.982311;0.17266184;2.8096492;288.63055;287.89386;3.1277862;0.0807515;4.4465405e-06;2.8304055e-07;2.0089997e-06;7.917617e-06;5.2689607e-05
238.23383;-50.03696;-237.94826;24.45136;-25.585598;0.28556132;161.71259;-51.824947;-85.93057;-23.51574;-0.64735895;-0.20604149;0.4916028;68.51793;64.21422;14.911074;26.408672;0.97861034;1.996066;2.9746764;0.16761106;2.8070652;288.6702;287.93738;3.0791745;0.08104381;4.5605307e-06;2.8813764e-07;2.030714e-06;8.118941e-06;3.848368e-05
238.1138;-50.038193;-237.82164;24.365086;-25.673107;0.2921616;161.4997;-51.537903;-86.37336;-23.258572;-0.64328736;-0.31343037;0.605592;68.25349;64.60863;14.809872;26.391018;0.979117;2.0101416;2.9892585;0.16655688;2.8227017;288.6093;287.84207;3.0898104;0.080433324;4.344054e-06;2.775376e-07;1.9384233e-06;7.7398745e-06;4.8099293e-05
