SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
237.8038;-50.567787;-237.50482;24.458239;-26.109547;0.2989677;161.27435;-50.94068;-87.36509;-22.650646;-0.6657389;-0.3478086;0.6467763;68.79692;65.50478;14.924286;26.416853;0.99537843;2.02877;3.0241485;0.17236991;2.8517785;288.45435;287.72122;3.1766095;0.08116699;3.92946e-06;2.6935172e-07;1.9909548e-06;7.641258e-06;3.6177218e-05
237.91528;-50.413773;-237.94293;24.31171;-26.102064;-0.027650801;161.33932;-51.340683;-86.77139;-23.126984;-0.6545733;-0.5543016;0.52665085;68.4005;65.41986;14.781018;26.518002;0.98471576;2.0190697;3.0037856;0.16947898;2.8343065;288.58704;287.89838;3.1448877;0.08144873;4.304853e-06;2.8199955e-07;2.03637e-06;7.925596e-06;3.6443675e-05
238.07904;-50.231644;-237.95871;24.371988;-25.859655;0.12032328;161.49002;-51.436504;-86.311554;-23.32931;-0.63572395;-0.22307675;0.34340003;68.74723;64.772964;14.848924;26.449661;0.9817946;2.007425;2.9892197;0.16459858;2.824621;288.63977;287.8462;3.1431754;0.08035731;4.4493554e-06;2.8438296e-07;2.069371e-06;8.048569e-06;3.4804256e-05
238.09637;-50.160133;-237.57771;24.443243;-25.71689;0.51865727;161.4951;-51.36068;-86.22124;-23.34891;-0.65113497;-0.08685657;0.6055139;68.45209;64.84384;14.926785;26.477669;0.98712564;1.9975712;2.9846969;0.16858873;2.8161082;288.57614;287.84225;3.1443517;0.08167951;4.3704986e-06;2.7988955e-07;2.0229202e-06;7.835755e-06;3.931155e-05
237.76183;-50.335945;-237.66283;24.37201;-25.963934;0.098997;161.06714;-51.137913;-86.521324;-23.093773;-0.6481111;-0.3339776;0.4329746;68.58943;65.15033;14.824545;26.581577;0.98115957;2.0136755;2.9948351;0.16780582;2.8270292;288.5813;287.83292;3.1665666;0.080366746;4.4653148e-06;2.8298064e-07;2.0169516e-06;7.8677385e-06;4.0192714e-05
238.48015;-49.906475;-237.97624;24.375357;-25.53112;0.50390077;162.06377;-51.969353;-85.83742;-23.612926;-0.62057203;0.023495706;0.48040503;68.39151;64.00537;14.781505;26.314852;0.98093545;1.9912972;2.9722326;0.16067553;2.8115573;288.66135;287.89883;3.0993981;0.080966815;4.4698963e-06;2.863992e-07;2.0321745e-06;7.924761e-06;3.2103104e-05
238.27736;-50.0348;-237.82442;24.2707;-25.764103;0.45294565;161.73277;-51.488598;-86.44875;-23.113682;-0.6514826;0.030245492;0.42270017;68.36035;64.54414;14.771171;26.417105;0.9745863;2.0174387;2.992025;0.16867875;2.8233461;288.57184;287.75574;3.1043923;0.08034023;4.4540116e-06;2.8047458e-07;1.969022e-06;7.685267e-06;3.607012e-05
237.83011;-50.398136;-237.85431;24.51826;-25.879875;-0.024198083;161.18803;-51.420956;-86.33928;-23.433716;-0.6387693;-0.6446872;0.62048906;68.683754;65.09872;14.916935;26.538853;0.99007857;1.9988095;2.988888;0.16538708;2.8235009;288.65164;287.90915;3.1444998;0.081805624;4.46319e-06;2.8232668e-07;1.9987358e-06;8.141508e-06;4.0885654e-05
238.2024;-50.167892;-237.66766;24.468191;-25.699703;0.53472507;161.64941;-51.50135;-85.91282;-23.374023;-0.65637857;0.20483904;0.32988602;68.66435;64.52687;14.945317;26.416523;0.98775053;1.987516;2.9752667;0.16994639;2.8053203;288.60837;287.86676;3.09311;0.08237789;4.4830163e-06;2.8133803e-07;1.9948125e-06;7.649123e-06;3.7248337e-05
238.52237;-50.104225;-237.88298;24.445126;-25.6591;0.6393865;161.92902;-51.52239;-86.36429;-23.42751;-0.62677735;-0.011946032;0.6513325;68.47049;64.05857;14.812966;26.552376;0.97619677;2.0115829;2.9877796;0.16228218;2.8254974;288.69867;287.9453;3.0586135;0.08120225;4.372237e-06;2.7758654e-07;1.9438069e-06;7.729425e-06;2.9350393e-05
