SCRE;SCF;LCRE;LCF;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
237.9125;-50.69979;-237.67004;24.524334;-26.175457;0.24246155;161.37888;-50.82415;-87.292175;-22.982948;-0.6266422;-0.3470412;0.58950275;69.18373;65.45208;14.817847;26.481386;1.0077231;2.0134494;3.0211725;0.1622472;2.8589253;288.5105;287.8361;3.1569657;0.08289447;4.0696245e-06;2.73685e-07;2.0109262e-06;7.797756e-06;2.7871207e-05
237.80046;-50.4485;-237.79498;24.404728;-26.043774;0.0054778312;161.20975;-51.12589;-86.633835;-23.290503;-0.6461416;-0.4866229;0.49210072;68.59917;65.74258;14.887976;26.5219;0.9906101;2.0082428;2.998853;0.16729587;2.831557;288.5642;287.79288;3.2357488;0.08158776;4.218721e-06;2.7706957e-07;2.0434857e-06;7.9475485e-06;3.57121e-05
237.82303;-50.50831;-237.74411;24.38558;-26.12273;0.07892053;161.27995;-51.25237;-86.65241;-23.197508;-0.64639395;-0.4687232;0.5476437;68.63279;65.892525;14.755411;26.470669;0.9896343;2.0086708;2.998305;0.16736121;2.8309438;288.5699;287.79678;3.2225397;0.08050923;4.4982635e-06;2.8251662e-07;2.024602e-06;7.954256e-06;3.0999214e-05
238.17828;-50.145508;-237.60846;24.39461;-25.750898;0.56982285;161.67491;-51.476116;-86.13488;-23.26981;-0.6587007;0.13540511;0.43441775;68.50648;64.72504;14.852288;26.297554;0.9744832;2.006508;2.9809911;0.17054762;2.8104436;288.5706;287.80933;3.162827;0.08155533;4.404487e-06;2.7991203e-07;2.005521e-06;7.502467e-06;3.6672136e-05
238.3103;-50.18017;-237.88246;24.379972;-25.800198;0.42784992;161.82135;-51.676636;-86.18049;-23.33967;-0.64207935;-0.017519917;0.44536984;68.51912;64.35853;14.810008;26.365602;0.9794222;2.0049262;2.9843485;0.16624409;2.8181043;288.60284;287.82706;3.107297;0.0814374;4.48122e-06;2.8263534e-07;2.0072337e-06;7.599435e-06;3.183587e-05
238.07129;-50.39352;-237.6119;24.521198;-25.872322;0.45940238;161.52458;-51.533382;-86.1115;-23.26891;-0.6418232;-0.03104141;0.4904438;68.63159;64.76789;14.885226;26.454407;0.98157465;1.9997582;2.9813328;0.16617778;2.815155;288.6243;287.89645;3.1379628;0.082671456;4.4686326e-06;2.8310245e-07;2.0401824e-06;7.877443e-06;2.9606588e-05
238.07349;-50.350636;-237.84482;24.47997;-25.870663;0.22867505;161.56215;-51.59621;-86.200264;-23.523798;-0.6446011;-0.40272486;0.6313999;68.64591;64.991714;14.858441;26.500345;0.97774684;2.0060422;2.9837892;0.16689703;2.8168921;288.65454;287.88632;3.15755;0.08254327;4.455328e-06;2.7931094e-07;1.9846293e-06;7.84277e-06;3.110939e-05
237.89877;-50.39378;-237.79254;24.38142;-26.012358;0.10624107;161.2726;-51.325863;-86.289444;-23.317217;-0.64672095;-0.30664963;0.41289067;68.99701;64.873695;14.820592;26.51641;0.97638166;2.0119336;2.9883153;0.16744587;2.8208694;288.61334;287.8435;3.118802;0.079823315;4.378699e-06;2.7573412e-07;1.9385957e-06;8.0222735e-06;3.5614547e-05
238.29997;-49.979;-237.64417;24.414755;-25.564245;0.6557993;161.6866;-51.46963;-85.88257;-23.419441;-0.6513613;0.2635924;0.3922069;68.54534;63.906124;14.917298;26.467276;0.98214686;1.9918236;2.9739704;0.16864733;2.8053231;288.6453;287.80923;3.0753334;0.081635304;4.4263224e-06;2.826504e-07;1.9861634e-06;7.755463e-06;3.981926e-05
237.87741;-50.21886;-238.37144;24.238081;-25.980778;-0.49402574;161.28801;-51.723408;-86.615585;-23.418222;-0.6461716;-1.115378;0.6213523;68.048004;65.25651;14.834195;26.417742;0.9913353;2.0042737;2.995609;0.16730365;2.8283052;288.69006;287.96225;3.1362646;0.08017605;4.5531037e-06;2.8812832e-07;2.0073392e-06;8.102357e-06;4.4963734e-05
