SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
237.85051;-50.64391;-237.71748;24.431028;-26.212881;0.13302931;161.35587;-50.882366;-87.32655;-22.87842;-0.6608687;-0.39234793;0.5253772;68.79629;65.792;14.847284;26.500216;0.99289095;2.0329456;3.0258365;0.17110895;2.8547277;288.46796;287.73337;3.2078824;0.080914;4.0239925e-06;2.6914108e-07;1.9829329e-06;7.756632e-06;2.520982e-05
237.85858;-50.698944;-237.62042;24.557198;-26.141748;0.238161;161.27269;-51.058537;-86.64689;-23.300898;-0.6314496;-0.3650831;0.6032441;68.97961;65.464874;14.850739;26.552004;0.9857512;2.011054;2.9968052;0.16349189;2.8333132;288.6103;287.81326;3.1796107;0.08282602;4.296728e-06;2.758566e-07;2.014519e-06;7.739858e-06;3.0139256e-05
237.76491;-50.32284;-237.85602;24.325893;-25.99695;-0.09111395;161.19379;-51.47536;-86.3297;-23.260958;-0.65981084;-0.5320481;0.44093415;68.4685;65.29712;14.7747;26.48161;0.9769071;2.0121913;2.9890983;0.17083505;2.8182633;288.53217;287.78308;3.1832807;0.0807155;4.430879e-06;2.8561053e-07;2.0767588e-06;7.988396e-06;3.7503243e-05
237.92278;-50.473114;-237.77182;24.38327;-26.089844;0.15095553;161.42522;-51.409767;-86.322266;-23.307327;-0.64838254;-0.26253068;0.4134862;68.534386;65.404854;14.813315;26.397326;0.98024976;2.0090787;2.9893284;0.1678761;2.8214524;288.57114;287.76456;3.1961274;0.08095699;4.3527943e-06;2.8047052e-07;2.0112927e-06;7.6937695e-06;3.1110932e-05
238.14954;-50.137096;-237.84987;24.3061;-25.830996;0.29966754;161.58478;-51.52575;-86.16999;-23.463835;-0.6560906;-0.23089397;0.5305615;68.51962;64.79933;14.824423;26.373545;0.9798377;2.0016472;2.981485;0.16987184;2.811613;288.62463;287.89285;3.1368034;0.080908164;4.3790324e-06;2.7979982e-07;1.9949357e-06;7.637837e-06;4.002338e-05
238.02359;-50.258213;-237.9573;24.357922;-25.900293;0.066292875;161.54341;-51.581696;-86.49275;-23.306828;-0.66128147;-0.49914718;0.56544006;68.42064;65.374146;14.853099;26.42504;0.9889583;2.0040586;2.993017;0.17121582;2.8218012;288.58908;287.84653;3.193246;0.08188396;4.4424905e-06;2.7766168e-07;1.979474e-06;8.0326945e-06;3.5185127e-05
237.72789;-50.372765;-237.96889;24.342474;-26.030289;-0.24100323;161.12314;-51.43236;-86.19628;-23.540676;-0.6442264;-0.6904006;0.4493974;68.51347;65.17534;14.8617735;26.429338;0.98199755;2.001788;2.9837856;0.16679999;2.8169856;288.6111;287.87817;3.187054;0.08174946;4.466892e-06;2.8175634e-07;2.0228083e-06;7.920195e-06;4.1747717e-05
237.68887;-50.743546;-237.57079;24.547697;-26.195848;0.11808591;161.08287;-51.141026;-86.29034;-23.419748;-0.6580667;-0.42631137;0.5443973;68.90382;65.54545;14.942888;26.616371;0.98824435;2.0003853;2.9886296;0.17038347;2.8182461;288.61783;287.87073;3.1819017;0.08261221;4.4146677e-06;2.791386e-07;2.0072575e-06;7.844132e-06;2.890371e-05
238.04666;-50.219425;-237.60481;24.482916;-25.73651;0.44184998;161.54634;-51.508007;-85.97813;-23.494461;-0.6435882;-0.07783478;0.51968473;68.99096;64.64613;14.899263;26.350824;0.98876053;1.9868455;2.975606;0.16663475;2.8089714;288.55447;287.76505;3.1250699;0.08247472;4.352131e-06;2.773144e-07;1.972424e-06;7.802964e-06;3.6880356e-05
237.95396;-50.249287;-237.8475;24.372145;-25.87714;0.106449366;161.31598;-51.443993;-86.28223;-23.375933;-0.6503898;-0.4365695;0.5430189;68.52806;65.09449;14.869334;26.515848;0.9835653;2.0012414;2.9848068;0.16839579;2.816411;288.6342;287.88504;3.1326904;0.08128117;4.4789085e-06;2.8228493e-07;1.9718202e-06;7.952013e-06;4.2099367e-05
