SCRE;SCF;LCRE;LCF;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
237.73727;-50.570053;-237.80602;24.299377;-26.270676;-0.068741724;161.29547;-51.08793;-87.31245;-22.736347;-0.66008943;-0.5013446;0.43260288;68.79047;65.63905;14.821935;26.354061;0.9912482;2.0318882;3.0231366;0.17090718;2.8522294;288.38718;287.61655;3.1803684;0.0798993;3.975274e-06;2.7130463e-07;2.0040952e-06;7.774068e-06;3.135184e-05
238.05054;-50.414158;-237.83693;24.41496;-25.999195;0.21360636;161.50916;-51.40227;-86.23738;-23.373096;-0.6481505;-0.15175165;0.365358;68.75486;65.597786;14.811712;26.528202;0.9990999;1.985516;2.9846158;0.16781601;2.8167999;288.63187;287.85504;3.1917894;0.080891766;4.2967163e-06;2.7491507e-07;1.9847282e-06;7.9068195e-06;3.0279758e-05
237.77026;-50.52321;-237.7807;24.381765;-26.141441;-0.010448343;161.17006;-51.239506;-86.514824;-23.320173;-0.6687138;-0.57315516;0.56270677;68.66759;65.58234;14.827563;26.50804;0.980978;2.015372;2.99635;0.17314015;2.82321;288.58832;287.82877;3.2046137;0.08114202;4.352404e-06;2.7882888e-07;2.0155874e-06;7.838511e-06;3.503098e-05
237.75299;-50.30575;-237.8498;24.244833;-26.060919;-0.096796095;161.13165;-51.48744;-86.62864;-23.060293;-0.65229326;-0.6970127;0.6002166;68.28061;65.4544;14.738164;26.421629;0.985978;2.0102978;2.996276;0.16888864;2.8273873;288.56192;287.81314;3.1903737;0.08106106;4.4989247e-06;2.8689573e-07;2.0593973e-06;7.942711e-06;3.9778624e-05
238.07616;-50.16027;-238.03697;24.298656;-25.861612;0.039185002;161.43652;-51.401978;-86.251305;-23.518778;-0.6367956;-0.37233314;0.41151816;68.65915;64.67179;14.755904;26.52461;0.98418945;2.0024245;2.9866138;0.16487604;2.8217378;288.66946;287.90863;3.1389847;0.0804528;4.5188076e-06;2.8611342e-07;2.065288e-06;7.9924075e-06;4.0768897e-05
238.0378;-50.27955;-237.60504;24.433027;-25.846521;0.43275577;161.44696;-51.35668;-86.429726;-23.152792;-0.6467506;-0.13899815;0.5717539;68.74246;65.34562;14.83487;26.518913;0.97985464;2.0111678;2.9910223;0.16745356;2.8235688;288.60095;287.88876;3.174969;0.08190463;4.4313647e-06;2.811126e-07;1.9852885e-06;7.923616e-06;3.6813602e-05
237.96603;-50.326633;-237.76918;24.480692;-25.845943;0.1968558;161.33263;-51.431885;-86.129135;-23.49716;-0.63152415;-0.35707623;0.553932;68.708275;65.1245;14.85703;26.51691;0.9856553;1.9949212;2.9805765;0.1635112;2.8170652;288.65268;287.9254;3.166443;0.0818778;4.4449143e-06;2.834503e-07;2.0149819e-06;7.932288e-06;3.9119575e-05
238.25734;-49.922005;-237.8667;24.356125;-25.56588;0.39063177;161.7757;-51.834316;-85.54884;-23.695293;-0.65533566;0.041904;0.34872776;68.55986;63.99224;14.8530655;26.333853;0.9785455;1.9847909;2.9633365;0.16967636;2.79366;288.625;287.82336;3.096905;0.08136779;4.3925506e-06;2.773242e-07;1.979399e-06;7.803867e-06;3.9534607e-05
238.0528;-50.005356;-237.5206;24.503088;-25.502268;0.5321888;161.45544;-51.371964;-86.12829;-23.39304;-0.6439049;-0.08175359;0.6139424;68.81127;64.43698;14.951234;26.454554;0.9873853;1.9933548;2.98074;0.16671677;2.8140233;288.61307;287.80945;3.0907347;0.08200135;4.37173e-06;2.7653348e-07;1.9603365e-06;7.877674e-06;5.1718864e-05
238.03653;-50.338108;-238.07152;24.277056;-26.06105;-0.034992147;161.55333;-51.640408;-86.32818;-23.246479;-0.64215463;-0.30389014;0.26889798;68.15108;65.34174;14.818463;26.400726;0.98609245;2.0053127;2.991405;0.1662636;2.8251414;288.59808;287.81546;3.161029;0.080313876;4.464706e-06;2.843012e-07;2.0081584e-06;7.884273e-06;3.333697e-05
