SCRE;SCF;LCRE;LCF;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
238.14024;-50.38075;-237.75679;24.386467;-25.994282;0.3834524;161.51347;-50.856667;-87.323135;-22.699537;-0.653687;-0.019556057;0.40300846;68.552864;65.20487;14.78754;26.607843;0.992014;2.0322895;3.0243034;0.1692495;2.8550541;288.54773;287.76184;3.133993;0.080324404;4.124303e-06;2.813547e-07;2.052301e-06;7.711332e-06;3.195116e-05
237.85896;-50.391644;-237.8729;24.354023;-26.037622;-0.013930635;161.27373;-51.369156;-86.45515;-23.28081;-0.6486082;-0.47999644;0.4660658;68.65049;64.894615;14.858734;26.432302;0.98420596;2.00837;2.992576;0.16793452;2.8246412;288.5792;287.8177;3.1478646;0.081448555;4.390527e-06;2.8093643e-07;2.037146e-06;7.790292e-06;3.71463e-05
238.09023;-50.25827;-237.78046;24.378937;-25.879332;0.3097656;161.4848;-51.3828;-86.27127;-23.22398;-0.6401351;-0.033375647;0.34314126;68.58815;65.132645;14.81152;26.516495;0.98020595;2.007595;2.987801;0.1657407;2.8220603;288.61212;287.83508;3.1656966;0.08038099;4.3488367e-06;2.8477146e-07;2.086147e-06;7.977206e-06;3.2851098e-05
238.14275;-50.174435;-237.70093;24.524736;-25.649696;0.44181654;161.60414;-51.684376;-85.86511;-23.662603;-0.6469547;-0.25490585;0.6967224;68.72902;64.55621;14.937197;26.4137;0.97069156;2.000515;2.9712067;0.16750641;2.8037002;288.64844;287.86246;3.1376216;0.08102963;4.5376446e-06;2.8744103e-07;2.082039e-06;7.899542e-06;3.519761e-05
238.01926;-50.0111;-237.97221;24.384571;-25.62653;0.047032844;161.42517;-51.716972;-85.98315;-23.517605;-0.62390965;-0.41645414;0.463487;68.62545;64.50658;14.739484;26.433676;0.97498035;2.0007124;2.9756927;0.16153969;2.814153;288.6559;287.9194;3.1053362;0.080492154;4.5218317e-06;2.8696076e-07;2.0787872e-06;8.141929e-06;4.5962075e-05
238.27698;-49.89781;-238.03206;24.295824;-25.601988;0.24491367;161.81914;-51.861046;-85.80995;-23.634022;-0.6424304;-0.12831222;0.37322587;68.22435;64.23696;14.863048;26.280767;0.98360205;1.9877455;2.9713476;0.16633499;2.8050125;288.59387;287.8307;3.12214;0.08072072;4.4771764e-06;2.8326076e-07;2.0352352e-06;7.918338e-06;3.904067e-05
238.38074;-49.677097;-237.78012;24.41947;-25.25763;0.60062593;161.83446;-51.881855;-85.83892;-23.437109;-0.6397195;0.036859427;0.56376654;68.282234;63.737;14.886529;26.38502;0.973051;1.9996988;2.9727497;0.16563308;2.8071167;288.63934;287.8494;3.055386;0.08218334;4.4891153e-06;2.8191616e-07;2.009567e-06;7.654324e-06;5.254462e-05
238.21939;-49.86399;-237.86478;24.321451;-25.542542;0.35462362;161.60147;-51.572063;-86.08468;-23.389246;-0.6584565;-0.10297782;0.45760143;68.557274;64.0019;14.850226;26.34222;0.9837915;1.9961184;2.97991;0.1704844;2.8094256;288.61316;287.837;3.0659873;0.08121394;4.530424e-06;2.9069713e-07;2.0502587e-06;7.856107e-06;4.6232613e-05
238.44914;-49.90845;-238.02937;24.298586;-25.609863;0.41976574;161.98564;-51.763073;-86.19687;-23.620583;-0.6360675;-0.23094966;0.6507154;68.22143;64.435844;14.754185;26.353449;0.98563397;1.9962922;2.9819262;0.16468754;2.8172386;288.6468;287.8541;3.0908017;0.08108551;4.474474e-06;2.793027e-07;1.9690547e-06;7.914833e-06;3.6474587e-05
237.98972;-50.252346;-237.97443;24.452644;-25.7997;0.015287854;161.37973;-51.47519;-86.111015;-23.588638;-0.6451588;-0.44026804;0.4555559;68.395805;64.83012;14.880391;26.491802;0.9927432;1.9874358;2.980179;0.16704142;2.8131375;288.6939;287.91672;3.1028504;0.08241887;4.512988e-06;2.8803217e-07;2.0185798e-06;7.969527e-06;3.944848e-05
