SCRE;SCF;LCRE;LCF;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
238.19571;-50.255154;-237.72643;24.361301;-25.893852;0.46928617;161.64752;-50.909798;-87.12712;-22.872234;-0.64853954;0.089830786;0.3794554;68.750916;64.913704;14.796437;26.458101;0.9889409;2.0291212;3.018062;0.16791674;2.8501453;288.48175;287.77042;3.145445;0.08088016;4.0078935e-06;2.7393628e-07;2.0322384e-06;7.459846e-06;3.5239533e-05
238.05757;-50.338474;-237.63008;24.556602;-25.78187;0.42749435;161.4593;-51.197372;-86.367546;-23.359196;-0.6273678;-0.092171304;0.51966566;69.001175;64.86923;14.909656;26.500538;0.9849368;2.006094;2.9910307;0.16243504;2.8285956;288.62225;287.81058;3.1745405;0.08241379;4.3143705e-06;2.7959024e-07;2.0606356e-06;7.738417e-06;3.4326134e-05
238.17204;-50.189217;-237.83142;24.378223;-25.810991;0.3406248;161.69844;-51.556923;-86.30669;-23.389647;-0.65075225;-0.20556718;0.546192;68.60711;64.57388;14.913825;26.395395;0.9790955;2.0070877;2.9861832;0.16848965;2.8176935;288.53912;287.74185;3.131333;0.081022404;4.3609607e-06;2.7863626e-07;2.0220516e-06;7.746524e-06;3.0998952e-05
237.83748;-50.47131;-237.77449;24.33297;-26.13834;0.0630019;161.3282;-51.39614;-86.38611;-23.284569;-0.65636396;-0.39498925;0.45799115;68.557915;65.41495;14.784833;26.423136;0.9813996;2.0101538;2.9915533;0.1699426;2.8216107;288.52338;287.71765;3.1889632;0.0817738;4.4273347e-06;2.8465084e-07;2.036937e-06;7.889959e-06;3.0367768e-05
237.8406;-50.426758;-237.7402;24.3165;-26.110256;0.100403614;161.32431;-51.391705;-86.46767;-23.212997;-0.6544734;-0.40252918;0.5029328;68.571915;65.29221;14.799569;26.414225;0.97988427;2.0127017;2.9925861;0.16945311;2.823133;288.51727;287.77548;3.1943123;0.08112556;4.3552627e-06;2.78135e-07;2.0005377e-06;7.694248e-06;3.7666356e-05
238.13484;-50.22745;-238.05064;24.375372;-25.85208;0.0841954;161.62228;-51.642998;-86.10004;-23.581787;-0.634072;-0.33661026;0.42080566;68.83126;64.63502;14.843999;26.337418;0.9863342;1.9935495;2.9798837;0.16417088;2.8157127;288.6563;287.84024;3.1180782;0.08085037;4.4739327e-06;2.8436222e-07;2.0662965e-06;7.956891e-06;3.5888534e-05
238.02295;-50.31318;-237.63902;24.452658;-25.860521;0.38392746;161.51834;-51.486378;-86.36958;-23.296976;-0.65196496;-0.28656414;0.67049164;68.55099;65.097206;14.905104;26.46335;0.98487395;2.0050359;2.98991;0.16880363;2.8211062;288.5857;287.8289;3.1794598;0.08225807;4.4119456e-06;2.7952538e-07;2.0034765e-06;7.745209e-06;3.369757e-05
238.1405;-49.93802;-237.98097;24.246462;-25.691557;0.15952402;161.52678;-51.772488;-86.04219;-23.304714;-0.6461412;-0.23874827;0.39827228;68.23392;64.62955;14.777626;26.375038;0.984683;1.9940705;2.9787536;0.16729577;2.8114576;288.62793;287.8822;3.1062212;0.08073506;4.502809e-06;2.8785996e-07;2.0220061e-06;7.758843e-06;4.984787e-05
237.97351;-50.381428;-238.06473;24.293207;-26.08822;-0.09121275;161.41612;-51.32004;-86.61224;-23.274975;-0.65074486;-0.44187716;0.3506644;68.39562;65.138275;14.825517;26.463913;0.986406;2.0123527;2.9987586;0.16848773;2.830271;288.62277;287.837;3.147825;0.08085268;4.382422e-06;2.7744386e-07;1.9454358e-06;7.984662e-06;3.5568737e-05
237.94365;-49.981678;-237.73328;24.310047;-25.67163;0.21037458;161.34238;-51.46635;-86.45154;-23.226704;-0.63731265;-0.43953583;0.6499104;68.250175;64.80563;14.758308;26.330584;0.9879846;2.0040212;2.9920058;0.16500993;2.8269958;288.59885;287.83347;3.125136;0.0808684;4.3925797e-06;2.8083565e-07;1.943441e-06;7.808724e-06;4.9930888e-05
