SCRE;SCF;LCRE;LCF;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;burden_CDNC;burden_ICNC;burden_SO4;burden_BC;burden_OC;burden_SS;burden_DU
237.36644;-51.40954;-237.76836;24.567677;-26.841862;-0.40191355;160.79152;-50.70828;-87.5884;-22.853775;-0.6332984;-0.9922307;0.59031713;68.873924;67.47661;15.214891;26.48069;1.0132848;2.018124;3.031409;0.16397059;2.8674386;288.52014;287.77084;3.3008795;0.08108096;4.110842e-06;2.765822e-07;2.0087691e-06;8.131995e-06;2.9537452e-05
237.48926;-50.77078;-237.56464;24.504099;-26.26668;-0.07537618;160.92783;-51.23953;-86.20971;-23.242186;-0.6458943;-0.40949187;0.33411568;68.80444;66.10273;15.2724495;26.280975;0.98996526;1.995291;2.9852564;0.16723184;2.8180244;288.49554;287.7628;3.2788672;0.08187242;4.375233e-06;2.8177013e-07;2.030643e-06;7.947062e-06;4.5863642e-05
237.71269;-51.02408;-237.64307;24.639217;-26.384863;0.06961703;161.0924;-51.28323;-86.375755;-23.31194;-0.6396423;-0.518162;0.58777905;68.697525;66.248566;15.281427;26.500832;0.9909417;1.9984204;2.989362;0.16561311;2.8237488;288.63153;287.8618;3.2650821;0.08302063;4.517222e-06;2.887207e-07;2.0756368e-06;7.940676e-06;3.054439e-05
237.72261;-50.372215;-237.99457;24.361834;-26.010382;-0.2719433;161.09926;-51.655907;-86.09734;-23.494707;-0.6565174;-0.8052101;0.53326684;68.28386;65.34193;15.198445;26.311146;0.9821883;1.9969594;2.9791477;0.16998231;2.8091655;288.61066;287.8441;3.2209616;0.0811765;4.599295e-06;2.9581904e-07;2.142251e-06;8.205312e-06;5.2349318e-05
237.53601;-50.96639;-237.78159;24.62834;-26.338049;-0.24557267;160.8617;-51.344887;-86.21967;-23.505867;-0.65084565;-0.8595759;0.61400324;68.49928;66.448044;15.269429;26.529015;1.0010804;1.9827412;2.9838216;0.16851383;2.8153079;288.65292;287.89328;3.2692254;0.08446178;4.5902702e-06;2.956639e-07;2.1289852e-06;8.2607085e-06;3.6822417e-05
237.72217;-50.885086;-237.81882;24.559055;-26.32603;-0.09664081;161.06134;-51.251347;-86.125946;-23.553238;-0.63331467;-0.5025123;0.40587145;68.75725;65.70373;15.227297;26.487131;0.9912252;1.992271;2.9834962;0.16397478;2.8195214;288.66348;287.89554;3.2162488;0.08244098;4.508532e-06;2.8770867e-07;2.082245e-06;8.120346e-06;3.497927e-05
237.69894;-50.9584;-237.59668;24.544798;-26.413603;0.10225626;161.1618;-51.1807;-86.35215;-23.308365;-0.6471703;-0.32657623;0.4288325;68.72904;65.95785;15.231119;26.454096;0.98710585;2.0012484;2.988354;0.16756223;2.820792;288.56473;287.79318;3.2781725;0.083426505;4.44131e-06;2.8048447e-07;1.9993574e-06;8.013758e-06;3.210367e-05
237.6518;-50.680893;-237.91208;24.358444;-26.322449;-0.26029116;160.99512;-51.458153;-86.32414;-23.345638;-0.6423836;-0.77520424;0.51491314;68.29196;66.08142;15.098501;26.427086;0.9775017;2.0112312;2.9887328;0.16632287;2.82241;288.6037;287.91763;3.2447603;0.08097145;4.4677786e-06;2.834033e-07;2.0161817e-06;8.120867e-06;4.866776e-05
237.50798;-51.04473;-237.62782;24.512194;-26.532536;-0.11984796;160.87242;-51.275562;-86.280266;-23.319164;-0.6451607;-0.6477374;0.52788943;68.54647;66.2739;15.196273;26.484344;0.9929296;1.9931488;2.9860785;0.16704191;2.8190365;288.59073;287.81198;3.252107;0.08252745;4.4223143e-06;2.8215567e-07;1.9968377e-06;7.98634e-06;3.747021e-05
237.49857;-50.583797;-237.8271;24.356012;-26.227783;-0.32853785;160.81369;-51.430832;-86.31338;-23.254936;-0.6430354;-0.82849056;0.4999527;68.23162;65.623375;15.0706415;26.467058;0.9772972;2.00953;2.9868271;0.16649164;2.8203356;288.5677;287.82098;3.1948786;0.08130736;4.474079e-06;2.8507773e-07;1.9966753e-06;8.204131e-06;5.1080162e-05
