SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m
236.9833;-49.174;-236.90173;25.132208;-24.041792;0.08156969;160.86562;-55.62376;-78.91563;-26.826992;-0.62609863;-1.1268705;1.2084403;61.28353;83.4695;48.738106;25.263498;1.0638887;1.6606718;2.7245605;0.16210645;2.562454;288.32632;287.57404
238.10188;-48.210136;-236.97466;25.07854;-23.131594;1.1272222;162.05566;-56.297024;-78.10719;-27.178944;-0.64520943;-0.17269777;1.29992;61.155247;80.92303;48.66532;25.211874;1.0434827;1.651478;2.6949606;0.16705452;2.5279062;288.43768;287.69635
237.01889;-49.418903;-237.16689;25.12558;-24.293324;-0.14798859;160.74097;-55.532932;-78.8417;-27.086124;-0.64677507;-1.3665698;1.2185812;61.33524;84.41454;48.98844;25.62947;1.069499;1.6534281;2.722927;0.16745989;2.5554671;288.53677;287.8021
238.09964;-48.311283;-237.27621;24.91442;-23.396864;0.8234183;162.14293;-56.547264;-78.22088;-27.226645;-0.64491135;-0.49677163;1.32019;60.8784;81.62947;48.637505;25.227661;1.0427033;1.655851;2.6985543;0.16697735;2.531577;288.51404;287.77542
237.13852;-49.09517;-236.72752;25.055058;-24.040112;0.41100496;161.18962;-56.180996;-77.82847;-27.095388;-0.6694071;-0.5846389;0.99564385;61.10728;82.88446;48.724087;25.155863;1.0389484;1.6499696;2.6889179;0.17331968;2.5155983;288.3292;287.59277
238.02121;-47.893257;-236.89682;24.668829;-23.224426;1.1243833;162.26848;-56.886414;-77.90364;-27.15466;-0.6662145;-0.34245664;1.46684;60.3523;80.67295;48.418236;24.766678;1.0350784;1.6527508;2.6878293;0.17249306;2.515336;288.20502;287.47247
238.20352;-47.845425;-237.00679;24.779016;-23.066406;1.1967366;162.34846;-56.80284;-77.84566;-27.182253;-0.6590805;-0.14136301;1.3380996;60.396988;80.278946;48.488194;25.098515;1.0344483;1.6490833;2.6835315;0.17064597;2.5128856;288.3639;287.63635
237.072;-49.003567;-237.46225;24.78281;-24.220758;-0.39024404;160.77351;-55.63882;-78.840576;-27.176523;-0.638891;-1.521298;1.131054;60.857304;83.68813;48.555202;25.655247;1.0616086;1.6628724;2.7244809;0.16541858;2.5590622;288.44284;287.7295
237.98882;-48.180435;-237.06818;24.74883;-23.431606;0.9206306;162.07419;-56.718807;-77.79022;-27.224424;-0.65773964;-0.31700665;1.2376373;60.484978;81.2093;48.560482;24.90205;1.0333558;1.6518904;2.6852462;0.17029878;2.5149474;288.31854;287.5897
237.65334;-48.3354;-236.8814;24.886944;-23.448456;0.77193844;161.55579;-56.559338;-77.68258;-27.250782;-0.671328;-0.60823685;1.3801754;60.657658;81.78339;48.538815;25.124344;1.0460852;1.6335112;2.6795964;0.17381702;2.5057793;288.37732;287.65134
