SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m
237.02696;-49.072536;-236.44861;25.124798;-23.94774;0.5783577;160.93932;-55.602333;-78.8301;-26.681005;-0.6553028;-0.8294334;1.407791;61.463768;82.99339;48.911938;25.172726;1.0694827;1.6501774;2.71966;0.16966787;2.549992;288.18558;287.42487
236.7516;-49.461857;-237.12724;25.081047;-24.380812;-0.37564456;160.50888;-55.374912;-79.279205;-26.939278;-0.636619;-1.7211325;1.345488;61.35248;84.94472;48.8657;25.550842;1.0772647;1.6587359;2.7360005;0.16483033;2.5711703;288.41455;287.6819
237.71213;-48.485947;-236.87506;25.046906;-23.439043;0.8370725;161.63431;-55.92912;-78.46215;-27.092482;-0.65936095;-0.50880474;1.3458772;61.134842;81.85329;48.95208;25.404816;1.0450063;1.6640512;2.7090573;0.17071857;2.538339;288.41388;287.68628
237.4864;-48.71764;-237.09021;25.052998;-23.664642;0.39619964;161.41888;-56.063824;-78.33904;-27.178843;-0.64635205;-0.8091712;1.2053708;61.13606;82.853546;48.614346;25.395082;1.0402336;1.6630319;2.7032657;0.16735037;2.5359151;288.49905;287.752
237.80067;-48.28763;-237.01581;24.920736;-23.366892;0.78485274;161.88416;-56.50984;-78.01572;-27.151289;-0.6473624;-0.4400535;1.2249062;60.53191;81.65223;48.700348;25.262184;1.0422295;1.6512779;2.6935074;0.16761197;2.5258954;288.46826;287.73288
237.13684;-48.888878;-237.0554;25.003384;-23.885494;0.081435956;161.13379;-56.053135;-78.357414;-27.191753;-0.63355136;-1.1020614;1.1834973;61.03032;83.06355;48.682785;25.245758;1.0541791;1.6518984;2.7060776;0.16403607;2.5420415;288.43747;287.70578
238.31863;-47.64285;-237.33104;24.637947;-23.004902;0.9876041;162.52313;-57.010483;-78.01327;-27.164991;-0.64201516;-0.30762908;1.2952331;59.93395;80.35923;48.37098;24.993912;1.0335028;1.6586506;2.6921535;0.16622749;2.5259259;288.39862;287.6871
237.85619;-47.819866;-237.05939;24.723152;-23.096716;0.7968016;161.95172;-56.64857;-77.72446;-27.426842;-0.6482285;-0.49636954;1.2931712;60.46213;81.00618;48.53359;25.18521;1.0421013;1.6396838;2.681785;0.1678362;2.513949;288.39587;287.66037
236.79587;-48.979904;-237.01064;24.866516;-24.113386;-0.21476223;160.63202;-55.98826;-78.30182;-27.09818;-0.64954126;-1.4057779;1.1910156;60.941246;83.62811;48.64013;25.484951;1.0432553;1.661805;2.7050605;0.1681761;2.5368843;288.39294;287.67538
237.30463;-48.431442;-237.16615;24.65296;-23.77848;0.13846989;161.36958;-56.5442;-78.1573;-27.153263;-0.64594257;-1.1311272;1.269597;60.02962;81.79254;48.581226;25.066603;1.0406538;1.6560042;2.6966581;0.16724434;2.5294137;288.301;287.5918
237.59848;-48.411926;-237.11998;24.828321;-23.583603;0.47850737;161.49396;-56.400635;-77.7645;-27.5549;-0.6487175;-0.8747967;1.353304;60.537865;82.13368;48.48411;25.2582;1.0537201;1.6296813;2.6834016;0.16796282;2.5154386;288.52658;287.8107
