SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m
235.79807;-47.932896;-237.47336;25.310295;-22.6226;-1.6752983;159.82404;-55.807842;-79.41828;-27.126436;-0.61176467;-3.1402836;1.4649851;61.319206;83.37413;48.9856;25.727997;1.0659077;1.6751505;2.741058;0.15839516;2.582663;288.84262;288.1088
237.43823;-49.023853;-237.054;25.083193;-23.94066;0.38421714;161.24117;-55.796284;-78.72631;-26.842585;-0.633657;-0.75767374;1.1418909;61.29636;82.97573;48.9117;25.447079;1.0615666;1.656405;2.7179716;0.16406342;2.553908;288.42972;287.69498
237.69719;-48.72781;-237.32921;24.984552;-23.74326;0.3679782;161.67052;-56.39513;-78.349686;-27.15944;-0.6481008;-0.8818402;1.2498183;60.774483;82.30544;48.771454;25.256222;1.0516582;1.6525395;2.7041976;0.16780314;2.5363946;288.46298;287.73203
237.5885;-48.836884;-237.14087;25.119314;-23.717567;0.4476254;161.49252;-56.071278;-78.50129;-27.050068;-0.64361644;-0.7737288;1.2213542;61.201443;82.91495;48.59586;25.417542;1.0358484;1.6748087;2.7106571;0.16664207;2.544015;288.51944;287.7729
237.55196;-48.76441;-237.10172;24.889284;-23.875124;0.4502522;161.49117;-56.088173;-78.3834;-27.15018;-0.6410036;-0.77158713;1.2218393;60.792374;82.60311;48.5186;25.3337;1.0568542;1.6481135;2.7049677;0.16596559;2.5390022;288.3981;287.66818
237.65588;-48.720955;-237.08948;24.857563;-23.863394;0.56640345;161.7264;-56.65904;-77.76287;-27.186884;-0.66629523;-0.5486926;1.115096;60.597427;81.40431;48.447594;25.16972;1.0336221;1.653614;2.6872363;0.17251396;2.5147223;288.36853;287.64246
238.15901;-47.886955;-237.11769;24.69458;-23.192373;1.0413159;162.43405;-57.092022;-77.84413;-27.154125;-0.65721107;-0.3134306;1.3547466;60.23387;80.930275;48.252834;24.762373;1.0336401;1.6510156;2.6846557;0.17016192;2.5144937;288.29498;287.56958
237.73877;-48.322487;-236.67996;24.935461;-23.387026;1.0587945;161.78954;-56.61981;-77.21513;-27.562819;-0.6690298;-0.27724493;1.3360394;60.64916;80.73752;48.69301;25.200802;1.030626;1.6330624;2.6636884;0.17322198;2.4904666;288.3778;287.63953
237.02132;-49.15352;-237.1101;25.01015;-24.143366;-0.088785276;160.75076;-55.72247;-78.712395;-26.947048;-0.650833;-1.2819741;1.1931888;60.763855;83.72582;48.89089;25.656824;1.0605723;1.6580247;2.718597;0.16851056;2.5500863;288.4708;287.7611
238.0731;-48.07791;-237.09996;24.654924;-23.422987;0.97314453;162.13936;-56.691753;-77.964905;-27.034216;-0.65431744;-0.20583567;1.1789802;60.186092;80.6511;48.388306;25.04417;1.0255338;1.6663125;2.6918461;0.16941273;2.5224335;288.26746;287.5497
237.67604;-48.499416;-237.4136;24.780043;-23.719376;0.26244622;161.63696;-56.785645;-77.37416;-27.920782;-0.66328955;-1.1069045;1.3693508;60.244648;82.25991;48.479782;25.138088;1.0578332;1.611866;2.6696992;0.17173573;2.4979634;288.50607;287.79926
