SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m
237.01576;-49.18427;-237.00677;25.063145;-24.121126;0.0089815715;160.87561;-55.55693;-79.08824;-26.883387;-0.6394645;-1.2924154;1.301397;61.222828;83.54051;48.684597;25.323624;1.0679001;1.6606418;2.7285419;0.16556707;2.5629747;288.343;287.61057
237.1955;-48.995556;-237.318;25.03797;-23.957586;-0.122504905;161.09377;-55.95637;-78.981766;-27.030977;-0.64279443;-1.5181458;1.3956409;60.863316;83.64469;48.82356;25.445036;1.0619168;1.663343;2.7252598;0.16642925;2.5588305;288.46307;287.7422
237.12238;-48.993607;-237.07079;25.025517;-23.96809;0.05158123;161.02763;-55.953648;-78.331856;-27.35395;-0.6521684;-1.2639843;1.3155656;61.120243;82.73348;48.752144;25.38311;1.0637095;1.6398258;2.7035353;0.1688563;2.534679;288.43085;287.71405
237.50188;-48.587387;-237.1708;24.955652;-23.631735;0.3310604;161.43037;-56.157238;-78.34648;-27.138088;-0.6593399;-0.8707786;1.2018391;60.79439;82.27211;48.705482;25.38624;1.0525723;1.6529552;2.7055273;0.17071313;2.5348144;288.49722;287.74924
237.46793;-48.505188;-237.0605;24.921356;-23.58383;0.4074335;161.60854;-56.544113;-77.7685;-27.473875;-0.65268034;-0.8306274;1.2380608;61.105644;81.94858;48.443924;25.10734;1.0397183;1.644306;2.684024;0.16898885;2.5150354;288.4496;287.7027
236.95149;-48.916428;-236.9536;24.906157;-24.010271;-0.0021047455;160.99307;-56.276783;-77.95858;-27.120916;-0.6383795;-1.0015827;0.999478;60.80419;82.8112;48.532726;25.124916;1.0495607;1.6439197;2.6934803;0.16528615;2.5281942;288.34305;287.60358
238.14319;-47.635395;-236.87233;24.66641;-22.968985;1.2708681;162.46515;-57.08851;-77.716835;-27.193645;-0.6791903;-0.21302839;1.4838964;60.283764;79.92864;48.46167;24.76195;1.0193708;1.6615818;2.6809525;0.17585269;2.5051;288.2304;287.49347
237.45825;-48.284428;-236.70361;24.789564;-23.494864;0.7546368;161.39525;-56.289806;-77.61105;-27.331884;-0.66527814;-0.5027694;1.2574062;60.641838;81.3803;48.456356;25.413366;1.0376527;1.6397326;2.6773853;0.17225063;2.5051346;288.3734;287.65112
236.5591;-49.27432;-237.2633;24.91663;-24.357689;-0.70421785;160.39803;-55.725815;-78.78785;-27.195906;-0.64146936;-1.9530181;1.2488002;60.751144;84.82762;48.829002;25.516832;1.0697327;1.6512295;2.7209623;0.16608617;2.554876;288.4521;287.7394
237.74728;-48.074875;-237.09023;24.695017;-23.37986;0.657055;161.84947;-56.712162;-77.90683;-27.17393;-0.6454224;-0.58887017;1.2459252;60.22844;81.53704;48.435966;24.999496;1.0322175;1.6565543;2.688772;0.16710967;2.5216622;288.3393;287.61996
239.94812;-53.85485;-234.72758;23.768633;-30.086216;5.22053;163.31056;-54.668987;-79.97026;-24.807728;-0.7318348;3.1317527;2.0887773;60.074368;94.2763;47.05868;23.8539;1.1386814;1.6033636;2.7420452;0.18948315;2.552562;286.22342;285.48666
