SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m
237.01599;-49.18865;-236.98805;25.022398;-24.16625;0.02794046;160.84842;-55.51235;-79.110176;-26.881308;-0.6243796;-1.2797945;1.3077348;61.308144;84.09993;48.507812;25.318684;1.0752124;1.6546862;2.7298987;0.16166136;2.5682373;288.3329;287.59036
237.38043;-48.806084;-237.03505;25.061907;-23.744175;0.34539464;161.21227;-55.82704;-78.7461;-27.019503;-0.6125669;-0.9929474;1.3383421;61.01819;83.09869;48.684822;25.453367;1.0584229;1.6585871;2.71701;0.15860286;2.5584073;288.43863;287.69803
237.57013;-48.624847;-237.0304;24.979574;-23.645271;0.5397398;161.51074;-56.161472;-78.20528;-27.165394;-0.6593624;-0.68076456;1.2205044;60.908928;82.19296;48.7961;25.36583;1.0523722;1.6474679;2.69984;0.17071894;2.5291212;288.4504;287.72092
237.22;-48.9161;-237.12598;25.057524;-23.858574;0.09402786;161.17015;-56.184425;-78.35646;-27.188545;-0.6475162;-1.2067871;1.300815;61.0389;82.931625;48.60046;25.429857;1.0377555;1.6672401;2.7049956;0.16765179;2.5373437;288.519;287.7772
237.77101;-48.336376;-237.20009;24.830854;-23.50552;0.57092756;161.85284;-56.461636;-78.01177;-27.315084;-0.6310728;-0.5667231;1.1376506;60.834415;81.76544;48.48809;25.214842;1.0452503;1.6474127;2.692663;0.16339433;2.5292685;288.4634;287.72192
236.91821;-48.89348;-237.18602;24.750225;-24.143251;-0.2677991;161.0464;-56.477314;-78.232506;-27.180761;-0.6655907;-1.5097674;1.2419684;60.60373;82.462135;48.44313;25.009228;1.0489645;1.6523082;2.7012727;0.17233156;2.5289412;288.32474;287.5846
238.00742;-47.80442;-236.83308;24.758348;-23.046072;1.1743224;162.21892;-56.77911;-77.78855;-27.187298;-0.6698019;-0.20584966;1.380172;60.41406;80.35175;48.51195;24.877674;1.0255281;1.6589922;2.6845202;0.17342189;2.5110984;288.315;287.5816
237.97363;-47.733047;-236.89539;24.772343;-22.960707;1.078247;162.11496;-56.831024;-77.55727;-27.247328;-0.66806763;-0.18872449;1.2669715;60.512417;80.53179;48.25114;25.205153;1.0320172;1.6442003;2.6762176;0.17297286;2.5032446;288.39954;287.66727
236.6054;-49.18977;-237.2321;24.897928;-24.29184;-0.62671024;160.35928;-55.63829;-78.80215;-27.14881;-0.6395725;-1.8695368;1.2428266;60.86979;83.92646;48.911293;25.571997;1.0625716;1.657766;2.7203376;0.16559504;2.5547426;288.45102;287.7336
237.52953;-48.290302;-237.13306;24.766886;-23.523415;0.3964709;161.58968;-56.53082;-78.00502;-27.143848;-0.64722276;-0.73724;1.133711;60.46096;81.55964;48.641636;25.042976;1.0348766;1.6593053;2.694182;0.1675758;2.526606;288.37204;287.65778
237.94875;-47.89616;-237.0916;24.836117;-23.060045;0.85715634;161.98848;-56.78981;-77.2828;-27.77938;-0.6632991;-0.52680874;1.383965;60.521152;81.12851;48.11552;25.134333;1.030344;1.6353555;2.6656995;0.1717382;2.4939613;288.4739;287.74594
