SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m
235.72469;-48.004704;-237.65454;25.221851;-22.782852;-1.9298538;159.66966;-55.639862;-79.2343;-27.248566;-0.61685526;-3.0699184;1.1400645;61.02807;83.75482;49.09514;25.822748;1.068882;1.6669921;2.735874;0.1597132;2.576161;288.90884;288.17657
237.67003;-48.77287;-237.48065;24.918938;-23.853933;0.1893787;161.51535;-56.034504;-79.13333;-26.902355;-0.6535423;-1.208378;1.3977567;60.54417;83.21101;48.64942;25.49208;1.0659976;1.665147;2.7311444;0.16921203;2.5619326;288.44244;287.73038
237.672;-48.69741;-237.05496;24.900684;-23.796728;0.6170352;161.65207;-56.274097;-78.01097;-27.342625;-0.6435322;-0.61915433;1.2361895;61.069633;82.26069;48.639843;25.165659;1.0490654;1.6433605;2.6924257;0.16662027;2.5258055;288.38043;287.62964
237.43907;-49.025467;-237.23808;25.05412;-23.97135;0.20098835;161.2453;-55.823116;-78.59305;-27.165037;-0.65428656;-0.99019575;1.1911842;60.95258;83.09313;48.833374;25.530722;1.0482922;1.664837;2.713129;0.16940475;2.5437243;288.53363;287.79874
238.18512;-48.19343;-237.10028;24.911453;-23.281977;1.0848356;162.27823;-56.72532;-77.70078;-27.260063;-0.65758926;-0.06551828;1.1503539;60.778847;80.43897;48.516273;25.136448;1.0251592;1.657436;2.6825953;0.17025985;2.5123353;288.4602;287.70367
237.55254;-48.696514;-236.92848;24.887053;-23.809462;0.6240605;161.65036;-56.494144;-77.9514;-27.079958;-0.65426093;-0.52941144;1.153472;60.713604;82.12885;48.727116;25.05846;1.0496591;1.6428864;2.6925454;0.16939808;2.5231473;288.32336;287.5853
238.14436;-47.91622;-236.82613;24.789152;-23.12707;1.3182375;162.35161;-56.90207;-77.72364;-27.173502;-0.66105044;-0.10864912;1.4268867;60.479248;80.52281;48.425476;24.832533;1.0266293;1.6539396;2.680569;0.171156;2.5094128;288.27863;287.5408
237.96806;-48.08336;-236.64455;24.912516;-23.170843;1.3235023;162.06201;-56.565006;-77.89856;-27.017841;-0.6605574;-0.079946876;1.4034492;60.62446;81.1394;48.832504;25.129557;1.0429658;1.6450952;2.688061;0.17102833;2.5170326;288.28085;287.55353
237.0493;-49.128254;-237.23073;24.97806;-24.150196;-0.18142246;160.83786;-55.85607;-78.7287;-26.989325;-0.6308425;-1.3670812;1.1856587;60.76456;83.28841;48.765;25.613272;1.0461106;1.672812;2.7189226;0.16333471;2.555588;288.45346;287.74396
238.32307;-47.89001;-237.116;24.57746;-23.312551;1.2070829;162.36972;-56.639057;-78.18419;-26.934902;-0.6564318;-0.044861104;1.251944;60.10399;80.68173;48.292107;25.013971;1.0361881;1.6605517;2.6967397;0.16996017;2.5267797;288.26138;287.54462
237.61276;-48.520035;-237.19032;24.811111;-23.708925;0.42244598;161.52478;-56.45805;-77.756714;-27.42501;-0.65981424;-0.774804;1.19725;60.43327;82.27411;48.553093;25.186726;1.0427728;1.642228;2.6850007;0.17083593;2.514165;288.42798;287.71643
