SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m
236.80516;-49.32261;-236.78003;25.109966;-24.212645;0.025124112;160.65732;-55.49248;-79.02478;-26.74937;-0.6537063;-1.263017;1.2881411;61.231728;84.43906;48.787;25.406244;1.0663526;1.6600221;2.7263749;0.1692545;2.5571203;288.26395;287.53015
237.26329;-48.946968;-237.1133;24.949703;-23.997265;0.14998415;161.08643;-55.826534;-78.84738;-26.825987;-0.6547184;-1.0681862;1.2181704;61.029694;83.53932;48.74349;25.447582;1.0543252;1.6669115;2.7212367;0.16951655;2.5517201;288.36746;287.6296
237.15976;-49.040905;-237.1031;24.961412;-24.079494;0.056655742;161.08215;-56.004036;-78.65144;-27.171732;-0.63571185;-1.3807746;1.4374304;60.999382;83.12667;48.76131;25.35697;1.0526499;1.6612657;2.7139156;0.16459545;2.5493202;288.38458;287.65775
237.64603;-48.56222;-237.13931;25.034908;-23.527311;0.5067218;161.56154;-56.020267;-78.41153;-26.961752;-0.6295857;-0.46159977;0.96832156;61.028683;82.31411;48.72066;25.436565;1.0432229;1.6660928;2.7093158;0.1630093;2.5463064;288.52594;287.78323
237.94382;-48.063774;-236.91609;24.972761;-23.091013;1.0277328;162.07014;-56.612034;-78.03076;-27.260824;-0.645027;-0.4784949;1.5062279;60.87821;81.01942;48.5275;25.187521;1.0268582;1.664023;2.6908813;0.1670073;2.523874;288.47992;287.73672
236.97707;-48.906624;-237.34428;24.873455;-24.033169;-0.3672041;161.05916;-56.42437;-78.20381;-27.287796;-0.6494268;-1.5062523;1.1390482;60.538475;82.45866;48.705925;25.13689;1.0510622;1.6501074;2.7011695;0.16814646;2.533023;288.4193;287.69366
238.08179;-47.738827;-236.99718;24.69267;-23.046158;1.0846043;162.39076;-57.045994;-77.650604;-27.26754;-0.6473565;-0.22073582;1.30534;60.12344;80.49778;48.286953;24.87346;1.0296931;1.6514795;2.6811726;0.16761044;2.513562;288.28503;287.56027
237.81136;-47.87629;-236.6524;24.836193;-23.040098;1.1589552;161.91267;-56.568363;-77.44311;-27.351797;-0.6581367;-0.10873806;1.2676933;60.79668;80.686;48.56703;25.19831;1.0333656;1.637612;2.6709776;0.1704016;2.500576;288.34958;287.6298
236.6869;-49.220795;-237.01875;25.01751;-24.203285;-0.3318397;160.4206;-55.583267;-78.61797;-27.15026;-0.6285304;-1.5594286;1.2275889;61.28175;84.16021;48.719627;25.622665;1.0545304;1.661578;2.7161086;0.16273606;2.5533724;288.46417;287.7374
237.58873;-48.290024;-237.14764;24.697985;-23.592037;0.44107828;161.64363;-56.657227;-78.0729;-27.124016;-0.6624808;-0.87298596;1.3140643;60.00642;81.37695;48.633987;25.111534;1.0311772;1.6617523;2.6929295;0.17152634;2.521403;288.32437;287.62677
238.05977;-47.970387;-236.86853;24.913416;-23.05697;1.1912408;162.07626;-56.811954;-77.25045;-27.400625;-0.64193416;-0.028711503;1.2199523;60.517433;80.89705;48.508606;25.109385;1.0201935;1.6455673;2.6657608;0.16620651;2.4995542;288.45792;287.72824
