var,formula,file
emi_BC,emi_BC,emi
emi_OC,emi_OC,emi
emi_SO2_awb,emi_SO2_awb,emi
emi_SO4_awb,emi_SO4_awb,emi
emi_BC_awb,emi_BC_awb,emi
emi_OC_awb,emi_OC_awb,emi
emi_OC_biogenic,emi_OC_biogenic,emi
emi_SO2_dom,emi_SO2_dom,emi
emi_SO4_dom,emi_SO4_dom,emi
emi_BC_dom,emi_BC_dom,emi
emi_OC_dom,emi_OC_dom,emi
emi_SO2_ene,emi_SO2_ene,emi
emi_SO4_ene,emi_SO4_ene,emi
emi_BC_ene,emi_BC_ene,emi
emi_OC_ene,emi_OC_ene,emi
emi_DMS_ffire,emi_DMS_ffire,emi
emi_SO2_ffire,emi_SO2_ffire,emi
emi_SO4_ffire,emi_SO4_ffire,emi
emi_BC_ffire,emi_BC_ffire,emi
emi_OC_ffire,emi_OC_ffire,emi
emi_DMS_gfire,emi_DMS_gfire,emi
emi_SO2_gfire,emi_SO2_gfire,emi
emi_SO4_gfire,emi_SO4_gfire,emi
emi_BC_gfire,emi_BC_gfire,emi
emi_OC_gfire,emi_OC_gfire,emi
emi_SO2_ind,emi_SO2_ind,emi
emi_SO4_ind,emi_SO4_ind,emi
emi_BC_ind,emi_BC_ind,emi
emi_OC_ind,emi_OC_ind,emi
emi_SO2_ships,emi_SO2_ships,emi
emi_SO4_ships,emi_SO4_ships,emi
emi_BC_ships,emi_BC_ships,emi
emi_OC_ships,emi_OC_ships,emi
emi_DMS_terr,emi_DMS_terr,emi
emi_SO2_tra,emi_SO2_tra,emi
emi_SO4_tra,emi_SO4_tra,emi
emi_BC_tra,emi_BC_tra,emi
emi_OC_tra,emi_OC_tra,emi
emi_SO2_wst,emi_SO2_wst,emi
emi_SO4_wst,emi_SO4_wst,emi
emi_BC_wst,emi_BC_wst,emi
emi_OC_wst,emi_OC_wst,emi
