var,formula,file
SW,srad0,.01_m
SCRE,srad0-sraf0,.01_m
LW,trad0,.01_m
LCRE,trad0-traf0,.01_m
CFnet,srad0-sraf0+trad0-traf0,.01_m
Fnet,srad0+trad0,.01_m
SW_surf,srads,.01_m
LW_surf,trads,.01_m
LH,ahfl,.01_m
SH,ahfs,.01_m
Lf_snow,-aprs*333700.,.01_m
Fnet_surf,srads+trads+ahfl+ahfs-aprs*333700.,.01_m
Fnet_toa_min_surf,srad0+trad0-srads-trads-ahfl-ahfs+aprs*333700.,.01_m
CC,aclcov*100,.01_m
LWP,xlvi*1.e3,.01_m
IWP,xivi*1.e3,.01_m
PWAT,qvi,.01_m
Prcp_lsc,aprl*8.64e4,.01_m
Prcp_cv,aprc*8.64e4,.01_m
Prcp_tot,(aprl+aprc)*8.64e4,.01_m
Prcp_snow,aprs*8.64e4,.01_m
Prcp_rain,(aprl+aprc-aprs)*8.64e4,.01_m
Temp_srf,tsurf,.01_m
Temp_2m,temp2,.01_m
WMO_TP,tropo,.01_m
O3_column,TOTOZ_m,.01_chem_m
NO2_column,TOTNO2_m*1.e-19,.01_chem_m
burden_AER,baer,_aero_m
strat_burden_AER,sbaer,_aero_m
wet_depos_AER,waer*1.e10,_aero_m
dry_depos_AER,daer*1.e11,_aero_m
strat_cond,aero_co*1.e14,_aero_m
strat_nuc,aero_nu*1.e14,_aero_m
strat_evap,aero_ev*1.e15,_aero_m
